series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12,12,02-12-2021,04-12-2021,9,Completed,
51367,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA,12,12,04-09-2022,14-09-2022,8,Completed,
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,14,05-12-2022,05-12-2022,7,Completed,
12679,Joshiraku,TV,13,0,0000-00-00,0000-00-00,0,Plan to Watch,
40748,Jujutsu Kaisen,TV,24,24,04-10-2020,28-03-2021,10,Completed,
48561,Jujutsu Kaisen 0 Movie,Movie,1,1,30-06-2022,30-06-2022,9,Completed,
51009,Jujutsu Kaisen 2nd Season,TV,23,23,07-07-2023,29-12-2023,10,Completed,
57658,Jujutsu Kaisen: Shimetsu Kaiyuu,Unknown,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
5680,K-On!,TV,13,13,16-03-2020,17-03-2020,8,Completed,
9617,K-On! Movie,Movie,1,1,16-04-2021,16-04-2021,9,Completed,
7791,K-On!!,TV,26,26,19-03-2020,21-03-2020,8,Completed,
48316,Kage no Jitsuryokusha ni Naritakute!,TV,20,20,05-10-2022,15-02-2023,9,Completed,
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,12,12,05-10-2023,20-12-2023,9,Completed,
57584,Kage no Jitsuryokusha ni Naritakute! Movie: Zankyou-hen,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,1,16-06-2023,16-06-2023,9,Completed,
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,12,0000-00-00,0000-00-00,8,Completed,
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,13,11-04-2022,27-06-2022,10,Completed,#5
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,12,13-04-2020,30-06-2020,9,Completed,
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,OVA,1,1,21-06-2021,21-06-2021,8,Completed,
52588,Kaijuu 8-gou,TV,12,12,14-04-2024,30-06-2024,0,Completed,
59177,Kaijuu 8-gou 2nd Season,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
59490,Kaijuu 8-gou: Hoshina no Kyuujitsu,Special,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
40716,Kakushigoto,TV,12,12,04-04-2020,19-06-2020,8,Completed,
40221,Kami no Tou,TV,13,13,02-04-2020,25-06-2020,7,Completed,
52635,Kami no Tou: Ouji no Kikan,TV,13,3,09-07-2024,28-07-2024,3,Dropped,
41930,Kamisama ni Natta Hi,TV,12,12,13-10-2020,27-12-2020,5,Completed,"""......will be the most heartbreaking anime"" my ass. Disappointed considering this story was written by the same person who wrote Angel beats(I fucking cried for this)."
53879,Kamonohashi Ron no Kindan Suiri,TV,13,5,02-10-2023,0000-00-00,6,Dropped,Sherlock Holmes with a gimmick and none of the charm.
39198,Kanata no Astra,TV,12,12,27-11-2019,07-12-2019,7,Completed,
40839,"Kanojo, Okarishimasu",TV,12,12,11-07-2020,26-09-2020,7,Completed,
